#Participant #,delay,quantizer,ssim,qoe-score
1,1,26,17.9342,5
1,15,26,17.8345,4
1,1,40,11.8929,4
1,15,33,14.9701,4
1,30,40,11.9493,2
1,1,33,15.0097,5
1,60,33,15.0477,2
1,60,40,11.9225,2
1,30,26,17.8343,3
1,15,40,12.1222,4
1,30,33,14.9404,4
1,60,26,17.922,3
2,1,26,17.0814,5
2,15,26,17.0247,3
2,1,40,11.9566,4
2,15,33,14.6408,3
2,30,40,11.9635,2
2,1,33,14.7002,4
2,60,33,14.5946,1
2,60,40,12.0488,1
2,30,26,17.3472,2
2,15,40,12.2265,3
2,30,33,14.8613,4
2,60,26,17.2352,2
3,1,26,17.8651,4
3,15,26,18.0063,3
3,15,40,11.9691,4
3,1,33,15.175,4
3,60,33,15.0629,3
3,30,40,11.8734,4
3,1,40,11.9239,4
3,30,26,17.8848,4
3,60,40,11.9626,2
3,30,33,15.1848,4
3,15,33,15.125,4
3,60,26,17.7538,2
4,1,26,18.5944,5
4,15,40,12.3367,4
4,30,40,12.5203,3
4,1,40,12.4669,4
4,60,26,18.6799,2
4,60,40,12.0292,1
4,1,33,15.7393,4
4,15,26,18.5326,4
4,15,33,15.5934,5
4,60,33,15.8713,3
4,30,26,18.6849,4
4,30,33,15.8448,5
5,1,26,17.8405,5
5,15,26,17.7775,5
5,60,33,14.9252,2
5,60,26,18.0255,1
5,15,40,11.818,3
5,15,33,14.9138,5
5,30,40,11.8241,2
5,1,33,15.0777,5
5,1,40,11.9905,5
5,60,40,11.9357,1
5,30,26,18.296,3
5,30,33,15.2753,3
6,1,26,18.496,4
6,15,26,18.4949,2
6,15,40,12.9383,2
6,1,33,16.1164,4
6,60,33,16.076,1
6,30,40,12.9509,2
6,1,40,13.0364,3
6,30,26,18.7029,2
6,60,40,13.0444,2
6,30,33,16.1692,3
6,15,33,16.2088,3
6,60,26,18.6515,2
7,1,26,18.4153,5
7,30,33,15.5341,2
7,1,33,15.5346,5
7,60,40,11.9159,1
7,60,26,18.4715,1
7,30,26,18.0563,2
7,60,33,15.5147,1
7,15,26,18.0491,3
7,15,40,12.0514,2
7,1,40,12.3166,4
7,30,40,12.0235,2
7,15,33,15.4147,2
8,1,26,17.9863,4
8,30,26,18.0776,3
8,15,26,18.0508,3
8,60,40,11.9683,2
8,15,40,12.0361,3
8,1,33,15.1363,4
8,1,40,12.0378,4
8,30,33,15.1959,2
8,60,33,15.1082,1
8,60,26,18.0822,2
8,15,33,15.1732,1
8,30,40,12.1113,2
9,1,26,17.358,5
9,15,40,12.2248,4
9,30,40,12.5086,2.5
9,1,40,12.4808,5
9,60,26,17.9579,2
9,60,40,12.5949,3
9,1,33,15.4249,4
9,15,26,18.1291,3
9,15,33,15.5998,5
9,60,33,15.5043,3
9,30,26,18.0454,3
9,30,33,15.4026,4
10,1,26,18.7271,5
10,30,26,18.8799,5
10,15,26,18.8896,4
10,60,40,13.4565,2
10,15,40,13.4629,3
10,1,33,16.5734,5
10,1,40,13.5109,4
10,30,33,16.6423,2
10,60,33,16.518,1
10,60,26,18.874,2
10,15,33,16.5926,3
10,30,40,13.6703,1
11,1,26,18.6287,4
11,1,40,12.0217,4
11,15,26,18.749,3
11,15,33,15.6847,3
11,60,33,15.7719,1
11,60,40,12.2044,1
11,30,26,18.6906,2
11,15,40,12.109,2
11,1,33,15.697,4
11,60,26,18.8304,1
11,30,40,12.117,2
11,30,33,15.6762,2
12,1,26,17.9023,4
12,30,33,15.1307,3
12,1,33,15.2603,5
12,60,40,12.3012,1
12,60,26,17.7838,2
12,30,26,17.8086,2
12,60,33,15.6122,2
12,15,26,18.0651,3
12,15,40,12.6555,3
12,1,40,12.7884,4
12,30,40,12.9254,1
12,15,33,15.9972,2
13,1,26,17.9637,5
13,1,40,12.4492,4
13,15,26,18.0568,3
13,15,33,15.5199,3
13,60,33,15.5465,1
13,60,40,12.5239,1
13,30,26,18.0187,2
13,15,40,12.6316,2
13,1,33,15.7904,3
13,60,26,18.0058,1
13,30,40,12.6713,1
13,30,33,15.6261,2
14,1,33,15.6634,4
14,1,40,12.1206,4
14,15,40,12.3211,3
14,60,44,10.397,2
14,30,44,10.5127,2
14,1,44,10.5949,4
14,60,33,15.9836,2
14,60,40,12.5412,1
14,30,40,12.6996,2
14,15,33,16.3257,3
14,15,44,10.6913,3
14,30,33,16.1912,3
15,1,33,15.9627,4
15,1,40,12.9374,4
15,15,40,12.8987,3
15,60,44,11.079,2
15,30,44,10.9422,3
15,1,44,11.0337,4
15,60,33,16.142,2
15,60,40,13.0648,2
15,30,40,13.2341,2
15,15,33,16.2717,3
15,15,44,11.2385,3
15,30,33,16.2089,4
16,1,33,15.6208,5
16,60,44,10.0611,4
16,60,40,12.1164,1
16,60,33,15.3586,1
16,30,33,15.2755,1
16,15,44,10.1816,2
16,30,40,12.2638,2
16,30,44,10.3069,3
16,1,40,12.2148,4
16,15,40,12.2605,3
16,15,33,15.4053,3
16,1,44,10.2789,5
17,1,33,16.053,5
17,60,44,11.3064,4
17,60,40,13.0373,2
17,60,33,15.9176,1
17,30,33,15.766,1
17,15,44,11.2575,3
17,30,40,13.2157,2
17,30,44,11.27,3
17,1,40,12.9133,4
17,15,40,13.1908,3
17,15,33,16.1127,5
17,1,44,11.4306,5
18,1,33,15.445,5
18,60,44,10.173,1
18,60,40,11.7848,1
18,1,44,10.0485,4
18,30,33,15.2817,3
18,15,40,11.9375,3
18,30,40,11.9653,3
18,60,33,15.2889,1
18,30,44,10.1495,3
18,15,33,15.2373,3
18,15,44,10.3571,3
18,1,40,12.1776,4
19,1,33,15.6956,5
19,60,44,10.7537,1
19,60,40,12.7646,2
19,1,44,10.8842,4
19,30,33,15.9466,3
19,15,40,12.7876,4
19,30,40,12.6507,2
19,60,33,15.7514,1
19,30,44,10.8522,2
19,15,33,15.8549,3
19,15,44,10.7424,3
19,1,40,12.5131,4
20,1,33,14.0055,4
20,30,44,9.3317,2
20,15,33,14.3828,4
20,15,40,11.1558,3
20,60,40,10.7565,1
20,60,33,14.0667,1
20,1,40,11.1214,3
20,1,44,9.36426,2
20,60,44,9.41259,1
20,30,40,11.1807,3
20,30,33,14.3955,3
20,15,44,9.53128,2
